row, item_id, item_link, brand, product_name, price, shipping, total, score, total_ratings
31,N82E16814131717,https://www.newegg.com/Product/Product.aspx?Item=N82E16814131717,PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,249,0,249.99,0,0

32,9SIAFVF75G6126,https://www.newegg.com/Product/Product.aspx?Item=9SIAFVF75G6126,ZOTAC,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710C-10P 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card - AMP! Edition,469,0,469.99,0,0

33,N82E16814126232,https://www.newegg.com/Product/Product.aspx?Item=N82E16814126232,ASUS,ASUS ROG Radeon RX Vega 64 STRIX-RXVEGA64-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready Video Card,579,4.99,584.98,0,0

34,N82E16814932009,https://www.newegg.com/Product/Product.aspx?Item=N82E16814932009,GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080IX-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,499,4.99,504.98,0,0

35,N82E16814125955,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125955,GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMING OC-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 ATX Video Card,729,4.99,734.98,0,0

36,N82E16814127943,https://www.newegg.com/Product/Product.aspx?Item=N82E16814127943,MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING X 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,529,4.99,534.98,0,0

0,N82E16814125955,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125955,GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMING OC-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 ATX Video Card,729,4.99,734.98,0,0

1,N82E16814125913,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125913,GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TG1 GAMING-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,199,4.99,204.98000000000002,0,0

